2732,509,2918,676
2424,25,3452,438
2841,454,2927,547
2911,599,3095,803
2900,414,3094,555
2897,516,3073,639
3234,127,3552,512
3458,109,3862,539
2658,653,2874,798
2643,328,2834,530
3078,320,3249,469
3040,453,3225,581
3146,400,3445,581
3261,497,3576,645
3028,593,3269,818
3055,534,3280,655
3110,853,3369,1074
2354,746,3116,1031
3316,768,3564,919
3163,685,3496,824
3483,731,3745,982
3671,733,3939,991
3398,617,3592,766
3345,868,3740,1204
2566,1110,3012,1303
2403,1023,2990,1422
2628,913,3318,1252
3269,1009,3609,1402
3249,1330,3716,1814
3110,1338,3431,1671
2715,1416,3180,1785
3538,481,4248,831
3059,1651,3396,1975
3766,57,4523,531
4418,38,5608,540
4029,386,4778,775
4663,404,5065,748
4747,668,4846,849
4031,739,4409,960
3887,784,4183,1035
4061,927,4315,1113
3847,903,4041,1083
3941,1000,4091,1272
4003,1087,4126,1307
4233,934,4386,1163
4799,534,5211,975
4618,1559,5168,2042
4442,839,4715,1106
4337,831,4527,1057
4245,674,4719,887
1786,1104,2263,1721
1669,1580,2257,2028
1511,979,2002,1192
1373,1154,1765,1473
1693,1353,1977,1675
3936,1150,4497,1641
4632,1099,5214,1583
4453,1284,4693,1562
2905,963,4695,2033
4333,1020,4515,1264
1359,0,2135,467
1333,337,1552,561
1548,360,1765,544
1460,515,1629,770
1311,493,1570,702
1037,314,1398,620
865,458,1169,807
25,32,1158,497
896,84,1649,398
1098,693,1346,927
1089,560,1347,823
1324,828,1520,1046
1480,626,1881,989
